0,1
hypertensive disease,pain chest
,shortness of breath
,dizziness
,asthenia
,fall
,syncope
,vertigo
,sweat
,palpitation
,nausea
,angina pectoris
,pressure chest
diabetes,polyuria
,polydypsia
,shortness of breath
,pain chest
,asthenia
,nausea
,orthopnea
,rale
,sweat
,unresponsiveness
,mental status changes
,vertigo
,vomiting
,labored breathing
depression mental,feeling suicidal
,suicidal
,hallucinations auditory
,feeling hopeless
,weepiness
,sleeplessness
,motor retardation
,irritable mood
,blackout
,mood depressed
,hallucinations visual
,worry
,agitation
,tremor
,intoxication
,verbal auditory hallucinations
,energy increased
,difficulty
,nightmare
,unable to concentrate
,homelessness
coronary arteriosclerosis,pain chest
,angina pectoris
,shortness of breath
,hypokinesia
,sweat
,pressure chest
,dyspnea on exertion
,orthopnea
,chest tightness
pneumonia,cough
,fever
,decreased translucency
,shortness of breath
,rale
,productive cough
,pleuritic pain
,yellow sputum
,breath sounds decreased
,chill
,rhonchus
,green sputum
,non-productive cough
,wheezing
,haemoptysis
,distress respiratory
,tachypnea
,malaise
,night sweat
failure heart congestive,shortness of breath
,orthopnea
,jugular venous distention
,rale
,dyspnea
,cough
,wheezing
accident cerebrovascular,dysarthria
,asthenia
,speech slurred
,facial paresis
,hemiplegia
,unresponsiveness
,seizure
,numbness
asthma,wheezing
,cough
,shortness of breath
,chest tightness
,non-productive cough
,pleuritic pain
,productive cough
,symptom aggravating factors
,distress respiratory
myocardial infarction,pain chest
,st segment elevation
,sweat
,shortness of breath
,st segment depression
,hypokinesia
,angina pectoris
,pressure chest
,t wave inverted
,orthopnea
,rale
,chest tightness
,presence of q wave
,palpitation
,dyspnea
,chest discomfort
,bradycardia
,syncope
hypercholesterolemia,pain
,pain chest
,sweat
,nonsmoker
,pressure chest
,syncope
,numbness
,chest discomfort
,shortness of breath
,st segment depression
,worry
,t wave inverted
,bradycardia
,dyspnea
infection,fever
,erythema
,decreased translucency
,hepatosplenomegaly
,chill
,pruritus
,diarrhea
,abscess bacterial
,swelling
,pain
,apyrexial
,cough
infection urinary tract,fever
,dysuria
,hematuria
,renal angle tenderness
,lethargy
,asthenia
,hyponatremia
,hemodynamically stable
,distress respiratory
,difficulty passing urine
,mental status changes
,consciousness clear
anemia,chill
,guaiac positive
,monoclonal
,ecchymosis
,tumor cell invasion
,haemorrhage
,pallor
,asthenia
,fatigue
,heme positive
,pain back
,orthostasis
,hyponatremia
,dizziness
,shortness of breath
,pain
,rhonchus
,arthralgia
,swelling
,transaminitis
chronic obstructive airway disease,shortness of breath
,wheezing
,cough
,dyspnea
,distress respiratory
,sputum purulent
,hypoxemia
,hypercapnia
,patient non compliance
,chest tightness
dementia,fever
,fall
,unresponsiveness
,lethargy
,agitation
,ecchymosis
,syncope
,rale
,unconscious state
,cough
,bedridden
,pain
,facial paresis
,abdominal tenderness
,rhonchus
,unsteady gait
,hallucinations auditory
insufficiency renal,shortness of breath
,hyperkalemia
,orthopnea
,rale
,urgency of micturition
,ascites
,guaiac positive
,asthenia
,apyrexial
,mental status changes
,dyspnea
,difficulty
,diarrhea
,hypotension
,breath sounds decreased
,swelling
,hypokinesia
confusion,seizure
,enuresis
,lethargy
,speech slurred
,fall
,consciousness clear
,mental status changes
,asterixis
,unconscious state
,agitation
,muscle twitch
,asthenia
,sleepy
,dizziness
,headache
,dysarthria
,lightheadedness
,tremor
,hyponatremia
,unresponsiveness
degenerative polyarthritis,pain
,food intolerance
,numbness of hand
,general discomfort
,drowsiness
,asthenia
,nonsmoker
,non-productive cough
,polydypsia
,stiffness
,unsteady gait
hypothyroidism,shortness of breath
,prostatism
,drowsiness
,hyponatremia
,fall
,unsteady gait
,polyuria
,hypotension
,difficulty
,syncope
,nightmare
,speech slurred
,weight gain
,asthenia
,fatigue
,agitation
,mental status changes
,motor retardation
,vomiting
,numbness
,mass of body structure
anxiety state,worry
,feeling suicidal
,suicidal
,sleeplessness
,feeling hopeless
,irritable mood
,tremor
,blackout
,weepiness
,has religious belief
,nervousness
,hallucinations visual
,formication
,difficulty
,pain chest
,patient non compliance
,agitation
,palpitation
,hallucinations auditory
,mood depressed
,hot flush
,pain
,consciousness clear
,nightmare
malignant neoplasms,pain
,mass of body structure
,lesion
,cushingoid facies
,emphysematous change
,decreased body weight
,ascites
,hoarseness
,thicken
,hematuria
acquired immuno-deficiency syndrome,fever
,night sweat
,spontaneous rupture of membranes
,cough
,
,decreased body weight
,chill
,diarrhea
,pleuritic pain
,patient non compliance
,tachypnea
,productive cough
,muscle hypotonia
,feeling suicidal
cellulitis,erythema
,pain
,swelling
,redness
,fever
,abscess bacterial
,patient non compliance
,hypesthesia
,hyperacusis
,pruritus
,pain chest
,scratch marks
,chill
,sore to touch
gastroesophageal reflux disease,pain
,pain chest
